author,top_emotions,top_emotions_pct,strong_emotions,moderate_emotions,weak_emotions,top_emotions_labeled
-BigSexy-,"[""curiosity"", ""approval"", ""annoyance""]","[26.92, 19.23, 19.23]",[],"[""curiosity""]","[""approval"", ""annoyance""]","[""curiosity (moderata: 26.92%)"", ""approval (debole: 19.23%)"", ""annoyance (debole: 19.23%)""]"
-BlitzN9ne,"[""disapproval"", ""approval"", ""admiration""]","[22.73, 13.64, 13.64]",[],[],"[""disapproval"", ""approval"", ""admiration""]","[""disapproval (debole: 22.73%)"", ""approval (debole: 13.64%)"", ""admiration (debole: 13.64%)""]"
-CrestiaBell,"[""approval"", ""love"", ""admiration""]","[29.63, 29.63, 22.22]",[],"[""approval"", ""love""]","[""admiration""]","[""approval (moderata: 29.63%)"", ""love (moderata: 29.63%)"", ""admiration (debole: 22.22%)""]"
-dyad-,"[""disapproval"", ""disgust"", ""love""]","[27.78, 27.78, 22.22]",[],"[""disapproval"", ""disgust""]","[""love""]","[""disapproval (moderata: 27.78%)"", ""disgust (moderata: 27.78%)"", ""love (debole: 22.22%)""]"
-tactical-throw-away,"[""approval"", ""admiration"", ""curiosity""]","[34.78, 17.39, 17.39]",[],"[""approval""]","[""admiration"", ""curiosity""]","[""approval (moderata: 34.78%)"", ""admiration (debole: 17.39%)"", ""curiosity (debole: 17.39%)""]"
-yasu,"[""approval"", ""admiration"", ""gratitude""]","[25.0, 20.83, 20.83]",[],"[""approval""]","[""admiration"", ""gratitude""]","[""approval (moderata: 25.00%)"", ""admiration (debole: 20.83%)"", ""gratitude (debole: 20.83%)""]"
12345jk12345,"[""admiration"", ""approval"", ""curiosity""]","[24.0, 24.0, 20.0]",[],[],"[""admiration"", ""approval"", ""curiosity""]","[""admiration (debole: 24.00%)"", ""approval (debole: 24.00%)"", ""curiosity (debole: 20.00%)""]"
137288,"[""curiosity"", ""approval"", ""disapproval""]","[33.33, 26.67, 20.0]",[],"[""curiosity"", ""approval""]","[""disapproval""]","[""curiosity (moderata: 33.33%)"", ""approval (moderata: 26.67%)"", ""disapproval (debole: 20.00%)""]"
1fastman1,"[""approval"", ""curiosity"", ""admiration""]","[35.71, 28.57, 21.43]",[],"[""approval"", ""curiosity""]","[""admiration""]","[""approval (moderata: 35.71%)"", ""curiosity (moderata: 28.57%)"", ""admiration (debole: 21.43%)""]"
1mas,"[""realization"", ""curiosity"", ""disapproval""]","[50.0, 25.0, 16.67]","[""realization""]","[""curiosity""]","[""disapproval""]","[""realization (forte: 50.00%)"", ""curiosity (moderata: 25.00%)"", ""disapproval (debole: 16.67%)""]"
22Starter22,"[""admiration"", ""annoyance"", ""caring""]","[20.0, 16.0, 16.0]",[],[],"[""admiration"", ""annoyance"", ""caring""]","[""admiration (debole: 20.00%)"", ""annoyance (debole: 16.00%)"", ""caring (debole: 16.00%)""]"
247sleepy,"[""approval"", ""gratitude"", ""caring""]","[29.17, 25.0, 20.83]",[],"[""approval"", ""gratitude""]","[""caring""]","[""approval (moderata: 29.17%)"", ""gratitude (moderata: 25.00%)"", ""caring (debole: 20.83%)""]"
3062226abcd,"[""annoyance"", ""excitement"", ""joy""]","[20.0, 20.0, 12.0]",[],[],"[""annoyance"", ""excitement"", ""joy""]","[""annoyance (debole: 20.00%)"", ""excitement (debole: 20.00%)"", ""joy (debole: 12.00%)""]"
4OoztoFreedom,"[""approval"", ""admiration"", ""curiosity""]","[22.73, 18.18, 13.64]",[],[],"[""approval"", ""admiration"", ""curiosity""]","[""approval (debole: 22.73%)"", ""admiration (debole: 18.18%)"", ""curiosity (debole: 13.64%)""]"
